label,left_id,left_title,left_authors,left_venue,left_year,right_id,right_title,right_authors,right_venue,right_year
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,35490,"transactions and consistency in distributed database systems il traiger , j gray , ca galtieri , bg lindsay 1982.0",,"acm transactions on database systems ,",
0,758,the mariposa distributed database management system sigmod record,j sidell,,1996.0,35490,"transactions and consistency in distributed database systems il traiger , j gray , ca galtieri , bg lindsay 1982.0",,"acm transactions on database systems ,",
0,492,"distributed transactions in practice p ram , l do , p drew sigmod record",,,1999.0,35490,"transactions and consistency in distributed database systems il traiger , j gray , ca galtieri , bg lindsay 1982.0",,"acm transactions on database systems ,",
0,2383,"deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,35490,"transactions and consistency in distributed database systems il traiger , j gray , ca galtieri , bg lindsay 1982.0",,"acm transactions on database systems ,",
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,58600,"implementation techniques for main memory database systems dj dewitt , rh katz , f olken , ld shapiro , mr 1984.0",,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",
0,1616,"implementation of two semantic query optimization techniques in db2 universal database q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer vldb",,,1999.0,58600,"implementation techniques for main memory database systems dj dewitt , rh katz , f olken , ld shapiro , mr 1984.0",,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",
0,1959,a non-uniform data fragmentation strategy for parallel main-menory database systems 1995,"n bassiliades , i vlahavas",vldb,,58600,"implementation techniques for main memory database systems dj dewitt , rh katz , f olken , ld shapiro , mr 1984.0",,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",
0,146,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994.0,58600,"implementation techniques for main memory database systems dj dewitt , rh katz , f olken , ld shapiro , mr 1984.0",,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",
0,2120,an almost-serial protocol for transaction execution in main-memory database systems 2002,"s blott , h korth",vldb,,58600,"implementation techniques for main memory database systems dj dewitt , rh katz , f olken , ld shapiro , mr 1984.0",,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,20709,"achieving robustness in distributed database systems acm transactions on database systems , 1983.0","dl eager , kc sevcik",,
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,20709,"achieving robustness in distributed database systems acm transactions on database systems , 1983.0","dl eager , kc sevcik",,
0,682,"improving timeliness in real-time secure database systems s son , r david , b thuraisingham sigmod record",,,1996.0,20709,"achieving robustness in distributed database systems acm transactions on database systems , 1983.0","dl eager , kc sevcik",,
0,758,the mariposa distributed database management system sigmod record,j sidell,,1996.0,20709,"achieving robustness in distributed database systems acm transactions on database systems , 1983.0","dl eager , kc sevcik",,
0,2528,mariposa : a wide-area distributed database system 1996,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,20709,"achieving robustness in distributed database systems acm transactions on database systems , 1983.0","dl eager , kc sevcik",,
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,40767,"production rules in parallel and distributed database systems proceedings of the 18th vldb conference , aug ,","s ceri , j widom",,
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,40767,"production rules in parallel and distributed database systems proceedings of the 18th vldb conference , aug ,","s ceri , j widom",,
0,2565,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994.0,40767,"production rules in parallel and distributed database systems proceedings of the 18th vldb conference , aug ,","s ceri , j widom",,
0,2383,"deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,40767,"production rules in parallel and distributed database systems proceedings of the 18th vldb conference , aug ,","s ceri , j widom",,
0,1635,parallel database systems 101 j gray sigmod conference,,,1995.0,40767,"production rules in parallel and distributed database systems proceedings of the 18th vldb conference , aug ,","s ceri , j widom",,
1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,45435,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",,1991.0
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,28223,"a model for optimal database allocation in distributed computer systems gm chiu , cs raghavendra",,"ieee computer ,",
0,703,"query optimization in compressed database systems z chen , j gehrke , f korn",,sigmod conference,2001.0,28223,"a model for optimal database allocation in distributed computer systems gm chiu , cs raghavendra",,"ieee computer ,",
0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,28223,"a model for optimal database allocation in distributed computer systems gm chiu , cs raghavendra",,"ieee computer ,",
0,1421,"query caching and optimization in distributed mediator systems s adali , k candan , y papakonstantinou , v subrahmanian sigmod conference",,,1996.0,28223,"a model for optimal database allocation in distributed computer systems gm chiu , cs raghavendra",,"ieee computer ,",
1,1861,on-demand data elevation in hierarchical multimedia storage servers vldb,"p triantafillou , t papadakis",,1997.0,64163,"on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb ,","p triantallou , t papadakis",,1997.0
0,1861,on-demand data elevation in hierarchical multimedia storage servers vldb,"p triantafillou , t papadakis",,1997.0,53684,"multimedia data elevation under a hierarchical storage model a vakali , e terzi",,,
1,2187,"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002",,,,64008,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",
0,448,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","d shasha , p bonnet",sigmod conference,2002.0,64008,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",
1,2187,"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002",,,,32580,"database tuning : principles , experiments , and troubleshooting techniques de shasha , p bonnetâ ? ¦",,,2003.0
1,448,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","d shasha , p bonnet",sigmod conference,2002.0,32580,"database tuning : principles , experiments , and troubleshooting techniques de shasha , p bonnetâ ? ¦",,,2003.0
1,450,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) d shasha , p bonnet sigmod conference 2002",,,,32580,"database tuning : principles , experiments , and troubleshooting techniques de shasha , p bonnetâ ? ¦",,,2003.0
0,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,15632,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
1,1323,"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0,15632,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
0,1217,"multimediaminer : a system prototype for multimedia data mining o zaяane , j han , z li , s chee , j chiang sigmod conference 1998",,,,15632,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
0,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,26178,multimedia-miner : a system prototype formultimedia data mining,"or zaiane , j hanâ ? ¦","proc . of1998acm sigmod conf on management of data . seattle ,",
0,1323,"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0,26178,multimedia-miner : a system prototype formultimedia data mining,"or zaiane , j hanâ ? ¦","proc . of1998acm sigmod conf on management of data . seattle ,",
1,1217,"multimediaminer : a system prototype for multimedia data mining o zaяane , j han , z li , s chee , j chiang sigmod conference 1998",,,,26178,multimedia-miner : a system prototype formultimedia data mining,"or zaiane , j hanâ ? ¦","proc . of1998acm sigmod conf on management of data . seattle ,",
0,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,27426,geominer : a system prototype for spatial data mining 1997.0,"j han , k koperski , n stefanovic","sigmod conference ,",
1,1323,"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0,27426,geominer : a system prototype for spatial data mining 1997.0,"j han , k koperski , n stefanovic","sigmod conference ,",
0,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,63679,"geominer : a system prototype for spatial mining j han , k koperski , n stefanovic proceedings , 1997 acm-sigmod international conference on & hellip ; ,",,,
1,1323,"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0,63679,"geominer : a system prototype for spatial mining j han , k koperski , n stefanovic proceedings , 1997 acm-sigmod international conference on & hellip ; ,",,,
0,611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,57227,"multimidia data miner : a system prototype for multimedia data miner or zaiane , j han , zn li , sh chee , j chiang proc . acm sigmod intl. conf . on management of data ,",,,
1,1217,"multimediaminer : a system prototype for multimedia data mining o zaяane , j han , z li , s chee , j chiang sigmod conference 1998",,,,57227,"multimidia data miner : a system prototype for multimedia data miner or zaiane , j han , zn li , sh chee , j chiang proc . acm sigmod intl. conf . on management of data ,",,,
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1213,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998.0,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1288,"scalable parallel data mining for association rules e han , g karypis , v kumar 1997",,sigmod conference,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1329,beyond market baskets : generalizing association rules to correlations 1997,"s brin , r motwani , c silverstein",sigmod conference,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1214,query flocks : a generalization of association-rule mining 1998,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,2568,sampling large databases for association rules 1996,h toivonen,vldb,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1439,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,2332,"data mining with optimized two-dimensional association rules t fukuda , y morimoto , s morishita , t tokuyama acm trans . database syst . 2001",,,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,2126,"maintaining data privacy in association rule mining s rizvi , j haritsa vldb",,,2002.0,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1543,an effective hash based algorithm for mining association rules sigmod conference,"j park , m chen , p yu",,1995.0,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,1815,a new sql-like operator for mining association rules vldb 1996,"r meo , g psaila , s ceri",,,27684,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,1439,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,349,"using quantitative information for efficient association rule generation b pєssas , w jr. , m carvalho , r resende sigmod record 2000",,,,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,1543,an effective hash based algorithm for mining association rules sigmod conference,"j park , m chen , p yu",,1995.0,15038,"efficient mining for fuzzy implication-based association rules in quantitative databases international journal of general systems ,","g chen , p yan , ee kerre",,2004.0
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,39931,"using unknowns to prevent discovery of association rules y saygin , vs verykios , c clifton acm sigmod record , 2001.0",,,
0,1954,"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb,,39931,"using unknowns to prevent discovery of association rules y saygin , vs verykios , c clifton acm sigmod record , 2001.0",,,
1,211,"using unknowns to prevent discovery of association rules y saygin , v verykios , c clifton 2001",,sigmod record,,39931,"using unknowns to prevent discovery of association rules y saygin , vs verykios , c clifton acm sigmod record , 2001.0",,,
0,1734,on the discovery of interesting patterns in association rules 1998,"s ramaswamy , s mahajan , a silberschatz",vldb,,39931,"using unknowns to prevent discovery of association rules y saygin , vs verykios , c clifton acm sigmod record , 2001.0",,,
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,7572,privacy-preserving mining of association rules,"v krishnan , i mumbai , s agrawal , i bangalore , j",,
0,1012,online association rule mining sigmod conference 1999,c hidber,,,7572,privacy-preserving mining of association rules,"v krishnan , i mumbai , s agrawal , i bangalore , j",,
0,883,"privacy-preserving data mining r agrawal , r srikant sigmod conference 2000",,,,7572,privacy-preserving mining of association rules,"v krishnan , i mumbai , s agrawal , i bangalore , j",,
0,2126,"maintaining data privacy in association rule mining s rizvi , j haritsa vldb",,,2002.0,7572,privacy-preserving mining of association rules,"v krishnan , i mumbai , s agrawal , i bangalore , j",,
0,1815,a new sql-like operator for mining association rules vldb 1996,"r meo , g psaila , s ceri",,,7572,privacy-preserving mining of association rules,"v krishnan , i mumbai , s agrawal , i bangalore , j",,
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1213,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998.0,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1288,"scalable parallel data mining for association rules e han , g karypis , v kumar 1997",,sigmod conference,,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1543,an effective hash based algorithm for mining association rules sigmod conference,"j park , m chen , p yu",,1995.0,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
0,1815,a new sql-like operator for mining association rules vldb 1996,"r meo , g psaila , s ceri",,,30895,a fast distributed algorithm for mining association rules,"dw cheung , j han , vt ng , aw fu , y fu","proceedings of the fourth international conference on on & hellip ; ,",1996.0
1,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,30952,"communication-efficient distributed mining of association rules a schuster , r wolff data mining and knowledge discovery ,",,,2004.0
0,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,30952,"communication-efficient distributed mining of association rules a schuster , r wolff data mining and knowledge discovery ,",,,2004.0
0,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,30952,"communication-efficient distributed mining of association rules a schuster , r wolff data mining and knowledge discovery ,",,,2004.0
0,211,"using unknowns to prevent discovery of association rules y saygin , v verykios , c clifton 2001",,sigmod record,,30952,"communication-efficient distributed mining of association rules a schuster , r wolff data mining and knowledge discovery ,",,,2004.0
0,1817,"constructing efficient decision trees by using optimized numeric association rules t fukuda , y morimoto , s morishita , t tokuyama vldb 1996",,,,30952,"communication-efficient distributed mining of association rules a schuster , r wolff data mining and knowledge discovery ,",,,2004.0
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,95,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1213,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998.0,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1954,"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1288,"scalable parallel data mining for association rules e han , g karypis , v kumar 1997",,sigmod conference,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,2255,"fast algorithms for universal quantification in large databases g graefe , r cole acm trans . database syst .",,,1995.0,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1543,an effective hash based algorithm for mining association rules sigmod conference,"j park , m chen , p yu",,1995.0,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1815,a new sql-like operator for mining association rules vldb 1996,"r meo , g psaila , s ceri",,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,1643,algorithms for mining distance-based outliers in large datasets vldb 1998,"e knorr , r ng",,,17648,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe 1995.0",,,
0,631,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,61742,"an efficient algorithm for mining association rules in large databases s ashok proceedings of the 21th international conference on very & hellip ; ,",,,
0,95,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,61742,"an efficient algorithm for mining association rules in large databases s ashok proceedings of the 21th international conference on very & hellip ; ,",,,
0,1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,61742,"an efficient algorithm for mining association rules in large databases s ashok proceedings of the 21th international conference on very & hellip ; ,",,,
0,1213,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998.0,61742,"an efficient algorithm for mining association rules in large databases s ashok proceedings of the 21th international conference on very & hellip ; ,",,,
